date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:53:38	22558/22558	---M-Z	-1	error ('Error%20when%20decompressing')	text/html	date:Fri,%2007%20Feb%202025%2016:53:16%20GMT	https://www.performanse.com/es/blog/art%c3%adculo/12-acciones-eficaces-para-generar-compromiso/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/blog/art%c3%adculo/12-acciones-eficaces-para-generar-compromiso/index.html	(from https://www.performanse.com/es/evento/games-of-hr-madrid-4-edicion-especial-engagement/)
10:53:39	124345/124345	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:18%20GMT	https://www.performanse.com/es/blog/e-book/compromiso-un-concepto-anticuado/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/blog/e-book/compromiso-un-concepto-anticuado/index.html	(from https://www.performanse.com/es/evento/games-of-hr-madrid-4-edicion-especial-engagement/)
10:53:39	23314/23314	---M-Z	-1	error ('Error%20when%20decompressing')	text/html	date:Fri,%2007%20Feb%202025%2016:53:18%20GMT	https://www.performanse.com/es/blog/art%c3%adculo/agbar-como-evitar-los-sesgos-en-un-proceso-de-selecci%c3%b3n/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/blog/art%c3%adculo/agbar-como-evitar-los-sesgos-en-un-proceso-de-selecci%c3%b3n/index.html	(from https://www.performanse.com/es/evento/games-of-hr-madrid-4-edicion-especial-engagement/)
10:53:39	165068/165068	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:18%20GMT	https://www.performanse.com/es/nuestros-productos/perfco/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/nuestros-productos/perfco/index.html	(from https://www.performanse.com/es/nuestros-productos/)
10:53:40	169120/169120	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:18%20GMT	https://www.performanse.com/es/nuestros-productos/360-feedback/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/nuestros-productos/360-feedback/index.html	(from https://www.performanse.com/es/nuestros-productos/)
10:53:41	157291/157291	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:20%20GMT	https://www.performanse.com/es/nuestros-productos/mindkeys/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/nuestros-productos/mindkeys/index.html	(from https://www.performanse.com/es/nuestros-productos/)
10:53:41	170389/170389	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:19%20GMT	https://www.performanse.com/es/nuestros-productos/team-booster/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/nuestros-productos/team-booster/index.html	(from https://www.performanse.com/es/nuestros-productos/)
10:53:41	180814/180814	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:20%20GMT	https://www.performanse.com/es/nuestros-servicios/feedback-360-by-performanse/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/nuestros-servicios/feedback-360-by-performanse/index.html	(from https://www.performanse.com/es/tus-necesidades/desarrollo-del-talento/)
10:53:42	193481/193481	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:20%20GMT	https://www.performanse.com/es/nuestros-servicios/coaching-de-soft-skills/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/nuestros-servicios/coaching-de-soft-skills/index.html	(from https://www.performanse.com/es/tus-necesidades/desarrollo-del-talento/)
10:53:43	178413/178413	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:21%20GMT	https://www.performanse.com/es/nuestros-servicios/team-building/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/nuestros-servicios/team-building/index.html	(from https://www.performanse.com/es/tus-necesidades/gestion-de-equipos/)
10:53:44	0/0	---M--	302	error ('Found')	text/html		http://www.performanse.com/robots.txt		(from https://www.performanse.com/es/)
10:53:44	23181/23181	---M-Z	-1	error ('Error%20when%20decompressing')	text/html	date:Fri,%2007%20Feb%202025%2016:53:23%20GMT	https://www.performanse.com/es/blog/art%c3%adculo/ataraxis-optimizacion-de-la-seleccion-de-personal/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/blog/art%c3%adculo/ataraxis-optimizacion-de-la-seleccion-de-personal/index.html	(from https://www.performanse.com/es/nuestros-exitos/como-ataraxis-transformo-su-seleccion-de-personal/)
10:53:46	120862/120862	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:24%20GMT	https://www.performanse.com/es/blog/e-book/checklist-los-10-puntos-clave-a-validar-antes-de-contratar/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/blog/e-book/checklist-los-10-puntos-clave-a-validar-antes-de-contratar/index.html	(from https://www.performanse.com/es/blog/e-book/management-los-jovenes-ya-estan-aqui/)
10:53:46	106821/106821	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:24%20GMT	https://www.performanse.com/es/blog/eventos/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/blog/eventos/index.html	(from https://www.performanse.com/es/blog/evento/management-estan-preparados-los-menores-de-30-anos/)
10:53:47	22497/22497	---M-Z	-1	error ('Error%20when%20decompressing')	text/html	date:Fri,%2007%20Feb%202025%2016:53:25%20GMT	https://www.performanse.com/es/blog/art%c3%adculo/management-los-jovenes-no-son-como-creeis/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/blog/art%c3%adculo/management-los-jovenes-no-son-como-creeis/index.html	(from https://www.performanse.com/es/blog/articulos/)
10:53:47	33448/33448	---M-Z	-1	error ('Error%20when%20decompressing')	text/html	date:Fri,%2007%20Feb%202025%2016:53:25%20GMT	https://www.performanse.com/es/blog/art%c3%adculo/guia-para-saber-todo-sobre-las-pruebas-psicometricas/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/blog/art%c3%adculo/guia-para-saber-todo-sobre-las-pruebas-psicometricas/index.html	(from https://www.performanse.com/es/blog/articulos/)
10:53:47	123933/123933	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2016:53:26%20GMT	https://www.performanse.com/es/blog/e-book/cuaderno-de-vacaciones-potencia-tus-soft-skills/	C:/Users/Administrator/Desktop/Teysaweb/www.performanse.com/es/blog/e-book/cuaderno-de-vacaciones-potencia-tus-soft-skills/index.html	(from https://www.performanse.com/es/blog/e-books/)
